Date,^GSPC,^RUT,^DJI,^IXIC,AGG,DBC,^VIX
2015-10-15,2023.8599853515625,1162.77001953125,17141.75,4870.10009765625,93.25003051757812,14.972559928894043,16.049999237060547
2015-10-16,2033.1099853515625,1162.31005859375,17215.970703125,4886.68994140625,93.15670776367188,14.982276916503906,15.050000190734863
2015-10-19,2033.6600341796875,1164.300048828125,17230.5390625,4905.47021484375,93.25003051757812,14.710225105285645,14.979999542236328
2015-10-20,2030.77001953125,1163.27001953125,17217.109375,4880.97021484375,93.0633773803711,14.739373207092285,15.75
2015-10-21,2018.93994140625,1144.949951171875,17168.609375,4840.1201171875,93.28399658203125,14.61306381225586,16.700000762939453
2015-10-22,2052.510009765625,1154.52001953125,17489.16015625,4920.0498046875,93.3010025024414,14.66164493560791,14.449999809265137
2015-10-23,2075.14990234375,1166.06005859375,17646.69921875,5031.85986328125,93.13968658447266,14.574198722839355,14.460000038146973
2015-10-26,2071.179931640625,1159.5,17623.05078125,5034.7001953125,93.1821517944336,14.535334587097168,15.289999961853027
2015-10-27,2065.889892578125,1145.2900390625,17581.4296875,5030.14990234375,93.31790924072266,14.46732234954834,15.430000305175781
2015-10-28,2090.35009765625,1178.719970703125,17779.51953125,5095.68994140625,93.03788757324219,14.710225105285645,14.329999923706055
2015-10-29,2089.409912109375,1165.6300048828125,17755.80078125,5074.27001953125,92.63899993896484,14.622779846191406,14.609999656677246
2015-10-30,2079.360107421875,1161.8599853515625,17663.5390625,5053.75,92.8851089477539,14.768521308898926,15.069999694824219
2015-11-02,2104.050048828125,1186.0899658203125,17828.759765625,5127.14990234375,92.7022933959961,14.69079303741455,14.149999618530273
2015-11-03,2109.7900390625,1191.5799560546875,17918.150390625,5145.1298828125,92.53223419189453,14.953128814697266,14.539999961853027
2015-11-04,2102.31005859375,1190.3800048828125,17867.580078125,5142.47998046875,92.53223419189453,14.700509071350098,15.510000228881836
2015-11-05,2099.929931640625,1190.68994140625,17863.4296875,5127.740234375,92.48975372314453,14.583915710449219,15.050000190734863
2015-11-06,2099.199951171875,1199.75,17910.330078125,5147.1201171875,92.04757690429688,14.49647045135498,14.329999923706055
2015-11-09,2078.580078125,1184.4300537109375,17730.48046875,5095.2998046875,91.988037109375,14.370160102844238,16.520000457763672
